0 ГраницыРЦ
Линий 839; ПОДов 0; дуг 0; окружностей 0
Линии(индекс 2): всего 839
ID(2) начало конец тип цвет
2 z1 z4 0 1
2 z4 z7 0 1
2 z7 z10 0 1
2 z10 z13 0 1
2 z13 z16 0 1
2 z16 z19 0 1
2 z19 z22 0 1
2 z22 z25 0 1
2 z25 z28 0 1
2 z28 z31 0 1
2 z31 z34 0 1
2 z34 z37 0 1
2 z37 z40 0 1
2 z40 z43 0 1
2 z43 z46 0 1
2 z46 z49 0 1
2 z49 z52 0 1
2 z52 z55 0 1
2 z55 z58 0 1
2 z58 z61 0 1
2 z61 z64 0 1
2 z64 z67 0 1
2 z67 z70 0 1
2 z70 z73 0 1
2 z73 z76 0 1
2 z76 z79 0 1
2 z79 z82 0 1
2 z82 z85 0 1
2 z85 z88 0 1
2 z88 z91 0 1
2 z91 z94 0 1
2 z94 z97 0 1
2 z97 z100 0 1
2 z100 z103 0 1
2 z103 z106 0 1
2 z106 z109 0 1
2 z109 z112 0 1
2 z112 z115 0 1
2 z115 z118 0 1
2 z118 z121 0 1
2 z121 z124 0 1
2 z124 z127 0 1
2 z127 z130 0 1
2 z130 z133 0 1
2 z133 z136 0 1
2 z136 z139 0 1
2 z139 z142 0 1
2 z142 z145 0 1
2 z145 z148 0 1
2 z148 z151 0 1
2 z151 z154 0 1
2 z154 z157 0 1
2 z157 z160 0 1
2 z160 z163 0 1
2 z163 z166 0 1
2 z166 z169 0 1
2 z169 z172 0 1
2 z172 z175 0 1
2 z175 z178 0 1
2 z178 z181 0 1
2 z181 z184 0 1
2 z184 z187 0 1
2 z187 z190 0 1
2 z190 z193 0 1
2 z193 z196 0 1
2 z196 z199 0 1
2 z199 z202 0 1
2 z202 z205 0 1
2 z205 z208 0 1
2 z208 z211 0 1
2 z211 z214 0 1
2 z214 z217 0 1
2 z217 z220 0 1
2 z220 z223 0 1
2 z223 z226 0 1
2 z226 z229 0 1
2 z229 z232 0 1
2 z232 z235 0 1
2 z235 z238 0 1
2 z238 z241 0 1
2 z241 z244 0 1
2 z244 z247 0 1
2 z247 z250 0 1
2 z250 z253 0 1
2 z253 z256 0 1
2 z256 z259 0 1
2 z259 z262 0 1
2 z262 z265 0 1
2 z265 z268 0 1
2 z268 z271 0 1
2 z271 z274 0 1
2 z274 z277 0 1
2 z277 z280 0 1
2 z280 z283 0 1
2 z283 z286 0 1
2 z286 z289 0 1
2 z289 z292 0 1
2 z292 z295 0 1
2 z295 z298 0 1
2 z298 z301 0 1
2 z301 z304 0 1
2 z304 z307 0 1
2 z307 z310 0 1
2 z310 z313 0 1
2 z313 z316 0 1
2 z316 z319 0 1
2 z319 z322 0 1
2 z322 z325 0 1
2 z325 z328 0 1
2 z328 z331 0 1
2 z331 z334 0 1
2 z334 z337 0 1
2 z337 z340 0 1
2 z340 z343 0 1
2 z343 z346 0 1
2 z346 z349 0 1
2 z349 z352 0 1
2 z352 z355 0 1
2 z355 z358 0 1
2 z358 z361 0 1
2 z361 z364 0 1
2 z364 z367 0 1
2 z367 z370 0 1
2 z370 z373 0 1
2 zz1 zz4 0 1
2 zz4 zz7 0 1
2 zz7 zz10 0 1
2 zz10 zz13 0 1
2 zz13 zz16 0 1
2 zz16 zz19 0 1
2 zz19 zz22 0 1
2 zz22 zz25 0 1
2 zz25 zz28 0 1
2 zz28 zz31 0 1
2 zz31 zz34 0 1
2 zz34 zz37 0 1
2 zz37 zz40 0 1
2 zz40 zz43 0 1
2 zz43 zz46 0 1
2 zz46 zz49 0 1
2 zz49 zz52 0 1
2 zz52 zz55 0 1
2 zz55 zz58 0 1
2 zz58 zz61 0 1
2 zz61 zz64 0 1
2 zz64 zz67 0 1
2 zz67 zz70 0 1
2 zz70 zz73 0 1
2 zz73 zz76 0 1
2 zz76 zz79 0 1
2 zz79 zz82 0 1
2 zz82 zz85 0 1
2 zz85 zz88 0 1
2 zz88 zz91 0 1
2 zz91 zz94 0 1
2 zz94 zz97 0 1
2 zz97 zz100 0 1
2 zz100 zz103 0 1
2 zz103 zz106 0 1
2 zz106 zz109 0 1
2 zz109 zz112 0 1
2 zz112 zz115 0 1
2 zz115 zz118 0 1
2 zz118 zz121 0 1
2 zz121 zz124 0 1
2 zz124 zz127 0 1
2 zz127 zz130 0 1
2 zz130 zz133 0 1
2 zz133 zz136 0 1
2 zz136 zz139 0 1
2 zz139 zz142 0 1
2 zz142 zz145 0 1
2 zz145 zz148 0 1
2 zz148 zz151 0 1
2 zz151 zz154 0 1
2 zz154 zz157 0 1
2 zz157 zz160 0 1
2 zz160 zz163 0 1
2 zz163 zz166 0 1
2 zz166 zz169 0 1
2 zz169 zz172 0 1
2 zz172 zz175 0 1
2 zz175 zz178 0 1
2 zz178 zz181 0 1
2 zz181 zz184 0 1
2 zz184 zz187 0 1
2 zz187 zz190 0 1
2 zz190 zz193 0 1
2 zz193 zz196 0 1
2 zz196 zz199 0 1
2 zz199 zz202 0 1
2 zz202 zz205 0 1
2 zz205 zz208 0 1
2 zz208 zz211 0 1
2 zz211 zz214 0 1
2 zz214 zz217 0 1
2 zz217 zz220 0 1
2 zz220 zz223 0 1
2 zz223 zz226 0 1
2 zz226 zz229 0 1
2 zz229 zz232 0 1
2 zz232 zz235 0 1
2 zz235 zz238 0 1
2 zz238 zz241 0 1
2 zz241 zz244 0 1
2 zz244 zz247 0 1
2 zz247 zz250 0 1
2 zz250 zz253 0 1
2 zz253 zz256 0 1
2 zz256 zz259 0 1
2 zz259 zz262 0 1
2 zz262 zz265 0 1
2 zz265 zz268 0 1
2 zz268 zz271 0 1
2 zz271 zz274 0 1
2 zz274 zz277 0 1
2 zz277 zz280 0 1
2 zz280 zz283 0 1
2 zz283 zz286 0 1
2 zz286 zz289 0 1
2 zz289 zz292 0 1
2 zz292 zz295 0 1
2 zz295 zz298 0 1
2 zz298 zz301 0 1
2 zz301 zz304 0 1
