0 АэродромыВС.
Линий 32; ПОДов 0; дуг 0; окружностей 0
Линии(индекс 2): всего 32
ID(2) начало конец тип цвет
2 ra40 ra41 0 12
2 ra42 ra41 0 12
2 ra42 ra43 0 12
2 ra44 ra43 0 12
2 ra44 ra45 0 12
2 ra40 ra45 0 12
2 ra46 ra47 0 12
2 ra48 ra47 0 12
2 ra48 ra49 0 12
2 ra50 ra49 0 12
2 ra50 ra51 0 12
2 ra52 ra51 0 12
2 ra52 ra53 0 12
2 ra55 ra56 0 12
2 ra57 ra56 0 12
2 ra57 ra58 0 12
2 ra60 ra58 0 12
2 ra60 ra61 0 12
2 ra62 ra61 0 12
2 ra62 ra55 0 12
2 ra65 ra66 0 12
2 ra67 ra66 0 12
2 ra67 ra68 0 12
2 ra69 ra68 0 12
2 ra69 ra70 0 12
2 ra71 ra70 0 12
2 ra71 ra65 0 12
2 ra75 ra76 0 12
2 ra77 ra76 0 12
2 ra77 ra78 0 12
2 ra79 ra78 0 12
2 ra79 ra75 0 12
